V1,X,logFC,unshrunk.logFC,logCPM,PValue,FDR
AR,ENSG00000169083.17,2.090533331,2.091378253,3.918249334,0.000246951,0.03670829
BCL2,ENSG00000171791.13,1.161961746,1.162328015,4.010224944,0.006583559,0.329617077
CLU,ENSG00000120885.22,5.23880451,5.239090869,8.685202593,2.19E-08,4.24E-05
GPRC5A,ENSG00000013588.9,1.51155963,1.513189468,2.336086282,0.000545838,0.067731391
HMGCS1,ENSG00000112972.15,1.285036701,1.285197734,5.36316423,0.007909554,0.361613554
SOD2,ENSG00000112096.18,1.317354521,1.317360644,10.11940339,0.008670373,0.375956191
ZNF704,ENSG00000164684.13,1.04680338,1.046998023,4.735513902,0.07031166,1
